Census year,Local board area,Local board area Code,Measure,Value,Value Unit,Value Label,Null Reason
2013,Auckland,Total Auckland,Census usually resident population count,1415550,number,Number of people,
2018,Auckland,Total Auckland,Census usually resident population count,1571718,number,Number of people,
2023,Auckland,Total Auckland,Census usually resident population count,1656486,number,Number of people,
2013–18,Auckland,Total Auckland,Change in resident population count,156168,number,Number of people,
2013–18,Auckland,Total Auckland,Percentage change in resident population count,11,percentage,% change,
2018–23,Auckland,Total Auckland,Change in resident population count,84768,number,Number of people,
2018–23,Auckland,Total Auckland,Percentage change in resident population count,5.4,percentage,% change,
2013,Rodney,Rodney Local Board Area,Census usually resident population count,54882,number,Number of people,
2018,Rodney,Rodney Local Board Area,Census usually resident population count,66417,number,Number of people,
2023,Rodney,Rodney Local Board Area,Census usually resident population count,77949,number,Number of people,
2013–18,Rodney,Rodney Local Board Area,Change in resident population count,11535,number,Number of people,
2013–18,Rodney,Rodney Local Board Area,Percentage change in resident population count,21,percentage,% change,
2018–23,Rodney,Rodney Local Board Area,Change in resident population count,11532,number,Number of people,
2018–23,Rodney,Rodney Local Board Area,Percentage change in resident population count,17.4,percentage,% change,
2013,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Census usually resident population count,89829,number,Number of people,
2018,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Census usually resident population count,104010,number,Number of people,
2023,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Census usually resident population count,114033,number,Number of people,
2013–18,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Change in resident population count,14181,number,Number of people,
2013–18,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Percentage change in resident population count,15.8,percentage,% change,
2018–23,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Change in resident population count,10023,number,Number of people,
2018–23,Hibiscus and Bays,Hibiscus and Bays Local Board Area,Percentage change in resident population count,9.6,percentage,% change,
2013,Upper Harbour,Upper Harbour Local Board Area,Census usually resident population count,53670,number,Number of people,
2018,Upper Harbour,Upper Harbour Local Board Area,Census usually resident population count,62841,number,Number of people,
2023,Upper Harbour,Upper Harbour Local Board Area,Census usually resident population count,76959,number,Number of people,
2013–18,Upper Harbour,Upper Harbour Local Board Area,Change in resident population count,9171,number,Number of people,
2013–18,Upper Harbour,Upper Harbour Local Board Area,Percentage change in resident population count,17.1,percentage,% change,
2018–23,Upper Harbour,Upper Harbour Local Board Area,Change in resident population count,14118,number,Number of people,
2018–23,Upper Harbour,Upper Harbour Local Board Area,Percentage change in resident population count,22.5,percentage,% change,
2013,Kaipātiki,Kaipatiki Local Board Area,Census usually resident population count,82494,number,Number of people,
2018,Kaipātiki,Kaipatiki Local Board Area,Census usually resident population count,88269,number,Number of people,
2023,Kaipātiki,Kaipatiki Local Board Area,Census usually resident population count,88128,number,Number of people,
2013–18,Kaipātiki,Kaipatiki Local Board Area,Change in resident population count,5775,number,Number of people,
2013–18,Kaipātiki,Kaipatiki Local Board Area,Percentage change in resident population count,7,percentage,% change,
2018–23,Kaipātiki,Kaipatiki Local Board Area,Change in resident population count,-141,number,Number of people,
2018–23,Kaipātiki,Kaipatiki Local Board Area,Percentage change in resident population count,-0.2,percentage,% change,
2013,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Census usually resident population count,55470,number,Number of people,
2018,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Census usually resident population count,57975,number,Number of people,
2023,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Census usually resident population count,58005,number,Number of people,
2013–18,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Change in resident population count,2505,number,Number of people,
2013–18,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Percentage change in resident population count,4.5,percentage,% change,
2018–23,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Change in resident population count,30,number,Number of people,
2018–23,Devonport-Takapuna,Devonport-Takapuna Local Board Area,Percentage change in resident population count,0.1,percentage,% change,
2013,Henderson-Massey,Henderson-Massey Local Board Area,Census usually resident population count,107685,number,Number of people,
2018,Henderson-Massey,Henderson-Massey Local Board Area,Census usually resident population count,118422,number,Number of people,
2023,Henderson-Massey,Henderson-Massey Local Board Area,Census usually resident population count,124779,number,Number of people,
2013–18,Henderson-Massey,Henderson-Massey Local Board Area,Change in resident population count,10737,number,Number of people,
2013–18,Henderson-Massey,Henderson-Massey Local Board Area,Percentage change in resident population count,10,percentage,% change,
2018–23,Henderson-Massey,Henderson-Massey Local Board Area,Change in resident population count,6357,number,Number of people,
2018–23,Henderson-Massey,Henderson-Massey Local Board Area,Percentage change in resident population count,5.4,percentage,% change,
2013,Waitākere Ranges,Waitakere Ranges Local Board Area,Census usually resident population count,48399,number,Number of people,
2018,Waitākere Ranges,Waitakere Ranges Local Board Area,Census usually resident population count,52095,number,Number of people,
2023,Waitākere Ranges,Waitakere Ranges Local Board Area,Census usually resident population count,53898,number,Number of people,
2013–18,Waitākere Ranges,Waitakere Ranges Local Board Area,Change in resident population count,3696,number,Number of people,
2013–18,Waitākere Ranges,Waitakere Ranges Local Board Area,Percentage change in resident population count,7.6,percentage,% change,
2018–23,Waitākere Ranges,Waitakere Ranges Local Board Area,Change in resident population count,1803,number,Number of people,
2018–23,Waitākere Ranges,Waitakere Ranges Local Board Area,Percentage change in resident population count,3.5,percentage,% change,
2013,Aotea/Great Barrier,Great Barrier Local Board Area,Census usually resident population count,939,number,Number of people,
2018,Aotea/Great Barrier,Great Barrier Local Board Area,Census usually resident population count,936,number,Number of people,
2023,Aotea/Great Barrier,Great Barrier Local Board Area,Census usually resident population count,1251,number,Number of people,
2013–18,Aotea/Great Barrier,Great Barrier Local Board Area,Change in resident population count,-3,number,Number of people,
2013–18,Aotea/Great Barrier,Great Barrier Local Board Area,Percentage change in resident population count,-0.3,percentage,% change,
2018–23,Aotea/Great Barrier,Great Barrier Local Board Area,Change in resident population count,315,number,Number of people,
2018–23,Aotea/Great Barrier,Great Barrier Local Board Area,Percentage change in resident population count,33.7,percentage,% change,
2013,Waiheke,Waiheke Local Board Area,Census usually resident population count,8340,number,Number of people,
2018,Waiheke,Waiheke Local Board Area,Census usually resident population count,9063,number,Number of people,
2023,Waiheke,Waiheke Local Board Area,Census usually resident population count,9162,number,Number of people,
2013–18,Waiheke,Waiheke Local Board Area,Change in resident population count,723,number,Number of people,
2013–18,Waiheke,Waiheke Local Board Area,Percentage change in resident population count,8.7,percentage,% change,
2018–23,Waiheke,Waiheke Local Board Area,Change in resident population count,99,number,Number of people,
2018–23,Waiheke,Waiheke Local Board Area,Percentage change in resident population count,1.1,percentage,% change,
2013,Waitematā,Waitemata Local Board Area,Census usually resident population count,77136,number,Number of people,
2018,Waitematā,Waitemata Local Board Area,Census usually resident population count,82866,number,Number of people,
2023,Waitematā,Waitemata Local Board Area,Census usually resident population count,81546,number,Number of people,
2013–18,Waitematā,Waitemata Local Board Area,Change in resident population count,5730,number,Number of people,
2013–18,Waitematā,Waitemata Local Board Area,Percentage change in resident population count,7.4,percentage,% change,
2018–23,Waitematā,Waitemata Local Board Area,Change in resident population count,-1320,number,Number of people,
2018–23,Waitematā,Waitemata Local Board Area,Percentage change in resident population count,-1.6,percentage,% change,
2013,Whau,Whau Local Board Area,Census usually resident population count,72594,number,Number of people,
2018,Whau,Whau Local Board Area,Census usually resident population count,79356,number,Number of people,
2023,Whau,Whau Local Board Area,Census usually resident population count,81273,number,Number of people,
2013–18,Whau,Whau Local Board Area,Change in resident population count,6762,number,Number of people,
2013–18,Whau,Whau Local Board Area,Percentage change in resident population count,9.3,percentage,% change,
2018–23,Whau,Whau Local Board Area,Change in resident population count,1917,number,Number of people,
2018–23,Whau,Whau Local Board Area,Percentage change in resident population count,2.4,percentage,% change,
2013,Albert-Eden,Albert-Eden Local Board Area,Census usually resident population count,94695,number,Number of people,
2018,Albert-Eden,Albert-Eden Local Board Area,Census usually resident population count,98622,number,Number of people,
2023,Albert-Eden,Albert-Eden Local Board Area,Census usually resident population count,96630,number,Number of people,
2013–18,Albert-Eden,Albert-Eden Local Board Area,Change in resident population count,3927,number,Number of people,
2013–18,Albert-Eden,Albert-Eden Local Board Area,Percentage change in resident population count,4.1,percentage,% change,
2018–23,Albert-Eden,Albert-Eden Local Board Area,Change in resident population count,-1992,number,Number of people,
2018–23,Albert-Eden,Albert-Eden Local Board Area,Percentage change in resident population count,-2,percentage,% change,
2013,Puketāpapa,Puketapapa Local Board Area,Census usually resident population count,52938,number,Number of people,
2018,Puketāpapa,Puketapapa Local Board Area,Census usually resident population count,57555,number,Number of people,
2023,Puketāpapa,Puketapapa Local Board Area,Census usually resident population count,56949,number,Number of people,
2013–18,Puketāpapa,Puketapapa Local Board Area,Change in resident population count,4617,number,Number of people,
2013–18,Puketāpapa,Puketapapa Local Board Area,Percentage change in resident population count,8.7,percentage,% change,
2018–23,Puketāpapa,Puketapapa Local Board Area,Change in resident population count,-606,number,Number of people,
2018–23,Puketāpapa,Puketapapa Local Board Area,Percentage change in resident population count,-1.1,percentage,% change,
2013,Ōrākei,Orakei Local Board Area,Census usually resident population count,79539,number,Number of people,
2018,Ōrākei,Orakei Local Board Area,Census usually resident population count,84318,number,Number of people,
2023,Ōrākei,Orakei Local Board Area,Census usually resident population count,83196,number,Number of people,
2013–18,Ōrākei,Orakei Local Board Area,Change in resident population count,4779,number,Number of people,
2013–18,Ōrākei,Orakei Local Board Area,Percentage change in resident population count,6,percentage,% change,
2018–23,Ōrākei,Orakei Local Board Area,Change in resident population count,-1122,number,Number of people,
2018–23,Ōrākei,Orakei Local Board Area,Percentage change in resident population count,-1.3,percentage,% change,
2013,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Census usually resident population count,70005,number,Number of people,
2018,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Census usually resident population count,76284,number,Number of people,
2023,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Census usually resident population count,78102,number,Number of people,
2013–18,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Change in resident population count,6279,number,Number of people,
2013–18,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Percentage change in resident population count,9,percentage,% change,
2018–23,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Change in resident population count,1818,number,Number of people,
2018–23,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Percentage change in resident population count,2.4,percentage,% change,
2013,Howick,Howick Local Board Area,Census usually resident population count,127125,number,Number of people,
2018,Howick,Howick Local Board Area,Census usually resident population count,140970,number,Number of people,
2023,Howick,Howick Local Board Area,Census usually resident population count,153570,number,Number of people,
2013–18,Howick,Howick Local Board Area,Change in resident population count,13845,number,Number of people,
2013–18,Howick,Howick Local Board Area,Percentage change in resident population count,10.9,percentage,% change,
2018–23,Howick,Howick Local Board Area,Change in resident population count,12600,number,Number of people,
2018–23,Howick,Howick Local Board Area,Percentage change in resident population count,8.9,percentage,% change,
