year,category,count
2025,prosecutions-appeals,141
2025,infringements-total,17430
2025,obstruction-officer,19
2025,failure-bylaw,4008
2025,failure-disqualification,56
2025,failure-menacing,514
2025,failure-register,10149
2025,failure-control,2064
2024,prosecutions-appeals,117
2024,infringements-total,6387
2024,obstruction-officer,11
2024,failure-bylaw,2031
2024,failure-disqualification,27
2024,failure-menacing,250
2024,failure-register,2305
2024,failure-control,1394
2023,prosecutions-appeals,121
2023,infringements-total,4748
2023,obstruction-officer,8
2023,failure-bylaw,1437
2023,failure-disqualification,9
2023,failure-menacing,256
2023,failure-register,1490
2023,failure-control,1337
2022,prosecutions-appeals,117
2022,infringements-total,3271
2022,obstruction-officer,7
2022,failure-bylaw,1105
2022,failure-disqualification,4
2022,failure-menacing,76
2022,failure-register,763
2022,failure-control,1128
2021,prosecutions-appeals,134
2021,infringements-total,5126
2021,obstruction-officer,21
2021,failure-bylaw,1415
2021,failure-disqualification,6
2021,failure-menacing,234
2021,failure-register,1903
2021,failure-control,1302
2020,prosecutions-appeals,161
2020,infringements-total,3480
2020,obstruction-officer,13
2020,failure-bylaw,1011
2020,failure-disqualification,8
2020,failure-menacing,157
2020,failure-register,1138
2020,failure-control,980
2019,prosecutions-appeals,220
2019,infringements-total,5172
2019,obstruction-officer,21
2019,failure-bylaw,1557
2019,failure-disqualification,4
2019,failure-menacing,217
2019,failure-register,2028
2019,failure-control,1076
2018,prosecutions-appeals,237
2018,infringements-total,5817
2018,obstruction-officer,31
2018,failure-bylaw,672
2018,failure-disqualification,6
2018,failure-menacing,241
2018,failure-register,2534
2018,failure-control,1934
2017,prosecutions-appeals,217
2017,infringements-total,5098
2017,obstruction-officer,23
2017,failure-bylaw,275
2017,failure-disqualification,1
2017,failure-menacing,220
2017,failure-register,2109
2017,failure-control,2002
2016,prosecutions-appeals,197
2016,infringements-total,3835
2016,obstruction-officer,25
2016,failure-bylaw,264
2016,failure-disqualification,1
2016,failure-menacing,135
2016,failure-register,1496
2016,failure-control,1386
2015,prosecutions-appeals,137
2015,infringements-total,4521
2015,obstruction-officer,42
2015,failure-bylaw,489
2015,failure-disqualification,0
2015,failure-menacing,205
2015,failure-register,2200
2015,failure-control,628
2014,prosecutions-appeals,210
2014,infringements-total,5638
2014,obstruction-officer,41
2014,failure-bylaw,1496
2014,failure-disqualification,0
2014,failure-menacing,190
2014,failure-register,3203
2014,failure-control,455
