year,category,count
2025,impounds,10214
2025,returned,3585
2025,euthanised,6079
2025,transferred,332
2024,impounds,8306
2024,returned,3536
2024,euthanised,4007
2024,transferred,455
2023,impounds,6596
2023,returned,3488
2023,euthanised,2615
2023,transferred,382
2022,impounds,5012
2022,returned,3205
2022,euthanised,1329
2022,transferred,335
2021,impounds,5228
2021,returned,3728
2021,euthanised,1123
2021,transferred,328
2020,impounds,5492
2020,returned,3732
2020,euthanised,1388
2020,transferred,372
2019,impounds,6833
2019,returned,4624
2019,euthanised,1673
2019,transferred,536
2018,impounds,7457
2018,returned,4492
2018,euthanised,2135
2018,transferred,479
2017,impounds,8416
2017,returned,4770
2017,euthanised,2846
2017,transferred,
2016,impounds,8614
2016,returned,4599
2016,euthanised,3172
2016,transferred,
2015,impounds,9432
2015,returned,4810
2015,euthanised,3961
2015,transferred,868
2014,impounds,7373
2014,returned,3612
2014,euthanised,3023
2014,transferred,516
