year,category,count
2025,dogs,131123
2025,desexed,85171
2025,registered,115869
2025,menacing,6732
2025,dangerous,21
2025,owners,110027
2025,rdol-owners,31724
2025,probationary,123
2025,disqualified,54
2024,dogs,135546
2024,desexed,89942
2024,registered,113343
2024,menacing,6438
2024,dangerous,13
2024,owners,113354
2024,rdol-owners,32487
2024,probationary,92
2024,disqualified,40
2023,dogs,131795
2023,desexed,89942
2023,registered,116209
2023,menacing,5410
2023,dangerous,10
2023,owners,110398
2023,rdol-owners,32263
2023,probationary,87
2023,disqualified,40
2022,dogs,125016
2022,desexed,63359
2022,registered,113722
2022,menacing,5369
2022,dangerous,8
2022,owners,104664
2022,rdol-owners,30143
2022,probationary,73
2022,disqualified,23
2021,dogs,118552
2021,desexed,87050
2021,registered,112329
2021,menacing,4843
2021,dangerous,12
2021,owners,99223
2021,rdol-owners,28780
2021,probationary,59
2021,disqualified,10
2020,dogs,112530
2020,desexed,
2020,registered,106182
2020,menacing,4745
2020,dangerous,26
2020,owners,93585
2020,rdol-owners,27663
2020,probationary,46
2020,disqualified,4
2019,dogs,110969
2019,desexed,
2019,registered,106608
2019,menacing,4406
2019,dangerous,29
2019,owners,91542
2019,rdol-owners,26809
2019,probationary,17
2019,disqualified,4
2018,dogs,110012
2018,desexed,
2018,registered,102954
2018,menacing,4268
2018,dangerous,29
2018,owners,91305
2018,rdol-owners,26628
2018,probationary,21
2018,disqualified,1
2017,dogs,115544
2017,desexed,
2017,registered,96699
2017,menacing,4195
2017,dangerous,36
2017,owners,
2017,rdol-owners,
2017,probationary,26
2017,disqualified,9
2016,dogs,114519
2016,desexed,
2016,registered,106706
2016,menacing,2737
2016,dangerous,40
2016,owners,
2016,rdol-owners,
2016,probationary,25
2016,disqualified,7
2015,dogs,109840
2015,desexed,
2015,registered,100199
2015,menacing,2988
2015,dangerous,45
2015,owners,
2015,rdol-owners,
2015,probationary,67
2015,disqualified,9
2014,dogs,105095
2014,desexed,
2014,registered,100756
2014,menacing,781
2014,dangerous,45
2014,owners,
2014,rdol-owners,
2014,probationary,66
2014,disqualified,9
