year,category,count
2025,rfs-p1-central,2664
2025,rfs-p1-east,2770
2025,rfs-p1-north,2488
2025,rfs-p1-south,2769
2025,rfs-p1-west,2455
2025,rfs-p2-central,5758
2025,rfs-p2-east,5983
2025,rfs-p2-north,4228
2025,rfs-p2-south,5272
2025,rfs-p2-west,4987
2025,roaming,16739
2025,barking,6426
2025,pick-up-dog,5223
2025,aggressive-people,3064
2025,attack-animals,1523
2025,attack-people,1341
2025,welfare,1264
2025,bylaw-breach,918
2025,aggressive-animals,788
2025,unregistered-dog,504
2024,rfs-p1-central,2949
2024,rfs-p1-east,2931
2024,rfs-p1-north,2655
2024,rfs-p1-south,3218
2024,rfs-p1-west,2850
2024,rfs-p2-central,4658
2024,rfs-p2-east,4973
2024,rfs-p2-north,4071
2024,rfs-p2-south,4861
2024,rfs-p2-west,4392
2024,roaming,15146
2024,barking,6597
2024,pick-up-dog,5344
2024,aggressive-people,2921
2024,attack-animals,1593
2024,attack-people,1253
2024,welfare,1111
2024,bylaw-breach,690
2024,aggressive-animals,752
2024,unregistered-dog,734
2023,rfs-p1-central,3563
2023,rfs-p1-north,2080
2023,rfs-p1-south,5321
2023,rfs-p1-west,2713
2023,rfs-p2-central,5042
2023,rfs-p2-north,3214
2023,rfs-p2-south,6658
2023,rfs-p2-west,4710
2023,roaming,12737
2023,barking,6670
2023,pick-up-dog,5357
2023,aggressive-people,2357
2023,attack-animals,1339
2023,attack-people,1098
2023,welfare,616
2023,bylaw-breach,826
2023,aggressive-animals,668
2023,unregistered-dog,608
2022,rfs-p1-central,3959
2022,rfs-p1-north,2450
2022,rfs-p1-south,4935
2022,rfs-p1-west,2830
2022,rfs-p2-bft,8
2022,rfs-p2-central,2153
2022,rfs-p2-north,2158
2022,rfs-p2-south,2310
2022,rfs-p2-west,2068
2022,rfs-p2-bft,5364
2022,roaming,8461
2022,barking,5518
2022,pick-up-dog,4112
2022,aggressive-people,1461
2022,attack-animals,1059
2022,attack-people,848
2022,welfare,48
2022,bylaw-breach,716
2022,aggressive-animals,445
2022,unregistered-dog,1253
2021,rfs-p1-central,3464
2021,rfs-p1-north,2644
2021,rfs-p1-south,4218
2021,rfs-p1-west,2775
2021,rfs-p2-bft,0
2021,rfs-p2-central,3311
2021,rfs-p2-north,2950
2021,rfs-p2-south,3915
2021,rfs-p2-west,3142
2021,rfs-p2-bft,5929
2021,roaming,7601
2021,barking,6263
2021,pick-up-dog,4394
2021,aggressive-people,1231
2021,attack-animals,829
2021,attack-people,756
2021,welfare,154
2021,bylaw-breach,894
2021,aggressive-animals,344
2021,unregistered-dog,3034
2020,rfs-p1-central,3304
2020,rfs-p1-north,2785
2020,rfs-p1-south,3949
2020,rfs-p1-west,2795
2020,rfs-p2-central,5667
2020,rfs-p2-north,4448
2020,rfs-p2-south,4950
2020,rfs-p2-west,4898
2020,roaming,7340
2020,barking,5810
2020,pick-up-dog,4928
2020,aggressive-people,1214
2020,attack-animals,785
2020,attack-people,685
2020,welfare,127
2020,bylaw-breach,1319
2020,aggressive-animals,333
2020,unregistered-dog,4179
2019,rfs-p1-central,3471
2019,rfs-p1-north,3031
2019,rfs-p1-south,4167
2019,rfs-p1-west,2995
2019,rfs-p2-central,5365
2019,rfs-p2-north,4985
2019,rfs-p2-south,5242
2019,rfs-p2-west,5752
2019,roaming,8112
2019,barking,6811
2019,pick-up-dog,5507
2019,aggressive-people,1276
2019,attack-animals,980
2019,attack-people,716
2019,welfare,228
