category,group,observed,expected,residual,percent_diff
Soft Coated Wheaten Terrier,central,70,32.50249002844657,6.577246407735075,115.36811468516765
Italian Greyhound,central,53,26.118072344287423,5.260049701281923,102.9246236144691
Scottish Terrier,central,51,25.924605141737146,4.924835234837421,96.72430774227256
Boston Terrier,central,64,33.46982604119796,5.27718781911864,91.2170081829003
Tibetan Terrier,central,55,29.79394919274269,4.617860092081182,84.60124115871514
American Cocker Spaniel,central,62,36.17836687690184,4.2929835768743265,71.37313082969492
Cavalier King Charles Spaniel,central,1491,925.5470970005263,18.586481191974162,61.09390919510952
Border Terrier,central,204,127.49488648063269,6.7755426067029125,60.006417222849905
Bernese Mountain,central,51,32.11555562334602,3.3323184018366176,58.80154962328026
Standard Poodle,central,640,407.4419285708838,11.52122233896771,57.07759931453824
Shiba Inu,central,66,42.17585015596043,3.668474369572304,56.48765764280073
Miniature Smooth Haired Dachshund,central,195,125.36674725257964,6.219070839028723,55.543638383732194
Welsh Pembroke Corgi,central,86,56.49242314468095,3.9258928778167026,52.23280435280344
West Highland White Terrier,central,273,179.73103116920754,6.957058292647274,51.89363696633138
Toy Poodle,central,799,552.9292648886923,10.464661346899067,44.503112918221674
Hungarian Vizsla,central,181,126.33408326533103,4.863583415573825,43.27091733420648
Cocker Spaniel,central,589,416.53488709074685,8.450366909779621,41.40472221038227
Miniature Schnauzer,central,1332,947.9892924963584,12.472158406499522,40.507916127662035
Lowchen,central,129,92.09038841393196,3.8462040657298178,40.07976534984854
Cairn Terrier,central,81,57.84669356253289,3.0442039812634736,40.02528928025616
Bruxellois Griffon,central,245,175.28128551055116,5.266008986796334,39.77533270957902
Miniature Poodle,central,739,538.9996263050723,8.61462892757038,37.105846448533164
French Bulldog,central,434,325.9922362972171,5.982068000458639,33.13200489974519
Miniature Long Haired Dachshund,central,99,74.484872981856725,2.840534752434634,32.91289363427491
Standard Smooth Haired Dachshund,central,66,50.301472663072076,2.2134441262820994,31.208882177425227
English Springer Spaniel,central,228,184.76117843551475,3.181035291476598,23.402546969344236
Beagle,central,160,132.5250337469399,2.386647093566099,20.731906626429755
Golden Retriever,central,1070,896.9139510230852,5.779452181529887,19.29795481266405
Pug,central,313,263.3088626709273,3.062289169497203,18.871805842393798
Toy Poodle,east,339,194.0745101927198,10.403046206259608,74.67517999317187
Bichon Frise,east,309,185.31467400837383,9.085802099063322,66.74340639966655
Yorkshire Terrier,east,79,49.16373176330621,4.255220628352542,60.687558016013654
Japanese Spitz,east,111,72.72701204212838,4.487913690620986,52.62554707417559
Schnauzer,east,92,61.04723046300039,3.9615626742125163,50.70298734642764
Maltese,east,321,230.33615765350092,5.973832779957303,39.36153284404719
Cavalier King Charles Spaniel,east,451,324.8609015962112,6.998436072039617,38.82864874904969
Pomeranian,east,118,85.28956781037651,3.541916556274447,38.35220769596146
West Highland White Terrier,east,83,63.084401668662245,2.5074504778130264,31.569766542195822
Beagle,east,61,46.51540919594579,2.1237715945187796,31.139338671703353
Standard Poodle,east,186,143.00941863746255,3.594934629486067,30.061363630546012
Shih Tzu,east,364,286.29046010234663,4.59272983845811,27.143600897449677
Miniature Schnauzer,east,393,332.73796359143705,3.303639319130762,18.110959073656417
Heading,north,393,223.26121275443668,11.359898608436186,76.02699329249712
King Charles Spaniel,north,283,162.8493551855891,9.415276623607932,73.78023982808088
Smooth Collie,north,125,83.39462947003958,4.555964720312195,49.889748050151844
Rough Collie,north,100,72.55989414519192,3.2213466520762455,37.81718010765091
Yorkshire Terrier,north,319,237.70752652090022,5.2726491234734185,34.19852735371937
Australian Kelpie,north,284,216.69470649695324,4.572198441543796,31.05996200419094
Cocker Spaniel,north,919,706.8843986180914,7.978080504115011,30.007113156914976
Miniature Poodle,north,1176,914.714321667442,8.639186833124443,28.564730227056863
Australian Shepherd,north,74,58.11358037872837,2.0839496084525284,27.336845394379832
German Short Haired Pointer,north,336,266.27182874095314,4.273125664054563,26.186837559478754
Border Terrier,north,271,216.36638118407907,3.7141982199853305,25.250511894193036
Border Collie,north,2512,2025.7671804336387,10.803127554993392,24.002403842986418
Bruxellois Griffon,north,364,297.4627334639994,3.8578796304064586,22.368269719424628
Bearded Collie,north,269,220.96293556431746,3.2315936354238772,21.73987429747013
Huntaway,north,1266,1047.6860733814815,6.744749979533769,20.837723452206895
Golden Retriever,north,1809,1522.1161504846593,7.353298612601657,18.847697623075188
Australian Cattle,north,428,363.7844466645821,3.366806566690226,17.65208873666503
French Bulldog,north,650,553.2281521929791,4.114308924474905,17.492213189697654
Lowchen,north,183,156.28284892810566,2.1371474479483235,17.095382670036265
Miniature Schnauzer,north,1874,1608.7940330834408,6.612003392097602,16.48476818429399
West Highland White Terrier,north,354,305.0142156601054,2.8048524872753995,16.060164354595937
Long Coat Chihuahua,north,314,270.8683831211915,2.620695610095714,15.923459350185801
English Springer Spaniel,north,361,313.55067379483387,2.679638324573415,15.13290519548165
Schnauzer,north,339,295.16445627388026,2.551492925766629,14.851227102170176
Cavalier King Charles Spaniel,north,1699,1570.708296790037,3.237060393104295,8.167761224165252
Fox (Smooth) Terrier,north,835,772.2211358800515,2.2591372237712024,8.129648516859538
Bichon Frise,north,966,895.9997788336142,2.3385435440042013,7.812526612172831
Jack Russell Terrier,north,1274,1195.4324641748588,2.2723781746052043,6.572310705931188
American Pit Bull Terrier,south,2423,1006.0068180258231,44.67528158930916,140.85323842584577
Shar Pei,south,1146,629.3978173165654,20.591767240064915,82.07880111277882
American Staffordshire Terrier,south,1074,591.2992991313499,19.8506278405261,81.63390377390317
American Bulldog,south,781,439.4200712308291,16.294926225419083,77.73425729334463
Bull Mastiff,south,471,277.2439465234932,11.636550103344804,69.88648657837808
Mastiff,south,667,392.8266131799913,13.833269741093247,69.79501327584029
Rottweiler,south,1180,700.9612501239294,18.093543968649964,68.34026128996102
Neapolitan Mastiff,south,120,75.4247691099197,5.132590392895334,59.09892919276815
Dogue de Bordeaux,south,56,35.78171640368204,3.379976644543692,56.50451020353356
Bull Terrier,south,247,171.44333183346933,5.770487431245159,44.07092848610892
Siberian Husky,south,457,342.3718188265979,6.195015487275203,33.480612267173235
Great Dane,south,51,38.35594060538578,2.0415978915139608,32.9650614612715
German Shepherd,south,1416,1080.144475034891,10.219074675248944,31.093574306738937
Staffordshire Bull Terrier,south,2744,2181.3975885237523,12.045759139274976,25.79091562382195
Bulldog,south,341,285.99630880928595,3.25245743122283,19.23230807408524
Rhodesian Ridgeback,south,299,254.3333511283299,2.8007975239179346,17.562246033998306
Huntaway,south,923,821.4349427636646,3.5437063841426677,12.364345847600099
Labrador Retriever,south,4110,3850.7819833286303,4.177252405797195,6.731568231949103
Miniature Pinscher,west,52,35.773769666648874,2.712909356195921,45.3578990543971
Smooth Collie,west,54,38.831356817644505,2.4341954851328813,39.062871929994074
Bull Mastiff,west,225,164.6510680811147,4.703133559669749,36.65262097732318
Siberian Husky,west,270,203.3295455412094,4.675555004469332,32.78935891059586
Staffordshire Bull Terrier,west,1674,1295.4996758768484,10.51592793872747,29.216551047530498
Mastiff,west,295,233.29389962096658,4.039953905631884,26.449941674123302
Shar Pei,west,467,373.7900292092158,4.821126374592119,24.93645188663211
Whippet,west,144,115.42391495008503,2.6598358145199406,24.75750806258189
American Bulldog,west,323,260.96506333747703,3.8401232029603585,23.771356927689627
Bull Terrier,west,126,101.81765212815448,2.396552378520631,23.7506437895543
Rottweiler,west,511,416.29049060805505,4.64189531301,22.750822209175958
Rhodesian Ridgeback,west,184,151.04480525918413,2.681457917285874,21.81815831684292
Shih Tzu,west,753,644.5393714298788,4.272158839010705,16.827618820167135
Pug,west,242,208.06880562525262,2.352315985715746,16.307679698926123
Pomeranian,west,222,192.01647308252558,2.1637818457978986,15.615080537693235
American Staffordshire Terrier,west,405,351.1638842918481,2.872888664749193,15.330766663752174
German Shepherd,west,701,641.4817842788832,2.3499452222453012,9.278239410651972
