financial_year,category,subcategory,measure,value
2023,ownership,owners,total,110398
2023,ownership,owners,probationary,97
2023,ownership,owners,disqualified,46
2023,registrations,dogs,rdol,32263
2023,registrations,dogs,known,131795
2023,registrations,dogs,desexed,89489
2023,registrations,dogs,registered,116209
2023,classification,menacing,33A,1183
2023,classification,menacing,33C,4227
2023,classification,dangerous,conviction,3
2023,classification,dangerous,evidence,6
2023,classification,dangerous,admission,1
2023,response,priority-1,total,14182
2023,response,priority-2,total,14053
2023,response,type,roaming-dog,"12,737"
2023,response,type,barking-howling,6670
2023,response,type,pick-up-contained-dog,5357
2023,response,type,aggressive-people,2357
2023,response,type,attack-animals,1339
2023,response,type,attack-people,1098
2023,response,type,bylaw-breach,826
2023,response,type,aggressive-animals,668
2023,response,type,welfare,616
2023,response,type,unregistered-dog,608
2023,response,type,police-spca,138
2023,response,type,relinquish-dog,93
2023,enforcement,prosecution-appeal,total,121
2023,enforcement,nuisance-abatement-notice,issued,60
2023,enforcement,nuisance-abatement-notice,properties,56
2023,classification,shelters,menacing-s33a,155
2023,classification,shelters,menacing-s33c,372
2023,classification,shelters,dangerous-s31,2
2023,infringements,offence,total,4748
2023,shelters,impound,total,6596
2023,shelters,claimed-returned,total,3488
2023,shelters,euthanised,total,2615
2023,shelters,adopted-rescued,total,382
2022,ownership,owners,total,104664
2022,ownership,owners,probationary,73
2022,ownership,owners,disqualified,23
2022,registrations,dogs,rdol,30143
2022,registrations,dogs,known,125016
2022,registrations,dogs,desexed,88136
2022,registrations,dogs,registered,113722
2022,classification,menacing,33A,1444
2022,classification,menacing,33C,3925
2022,classification,dangerous,conviction,2
2022,classification,dangerous,evidence,5
2022,classification,dangerous,admission,1
2022,response,priority-1,total,14182
2022,response,priority-2,total,14053
2022,response,type,roaming-dog,8461
2022,response,type,barking-howling,5518
2022,response,type,pick-up-contained-dog,4112
2022,response,type,aggressive-people,1461
2022,response,type,attack-animals,1059
2022,response,type,attack-people,848
2022,response,type,bylaw-breach,716
2022,response,type,aggressive-animals,445
2022,response,type,welfare,48
2022,response,type,police-spca,82
2022,response,type,relinquish-dog,126
2022,response,type,property-inspection,541
