suburb,local_board,region,attacks_suburb,attacks_board,attacks_region,known_suburb,known_board,known_region,rate_suburb,rate_board,rate_region
Albany,Upper Harbour Local Board Area,north,4,18,197,456,5464,43051,8.771929824561402,3.294289897510981,4.575968037908527
Albany Heights,Upper Harbour Local Board Area,north,1,18,197,220,5464,43051,4.545454545454545,3.294289897510981,4.575968037908527
Alfriston,Papakura Local Board Area,south,2,114,599,102,5967,33754,19.607843137254903,19.105077928607344,17.746044913195473
Ardmore,Franklin Local Board Area,south,7,67,599,444,11978,33754,15.765765765765764,5.593588245116046,17.746044913195473
Auckland Central,Waitematā Local Board Area,central,13,34,311,408,4310,25368,31.862745098039213,7.888631090487239,12.259539577420371
Avondale,Whau Local Board Area,west,14,44,221,1195,3694,20046,11.715481171548118,11.911207363291824,11.024643320363165
Balmoral,Albert-Eden Local Board Area,central,3,71,311,286,6233,25368,10.48951048951049,11.390983475052142,12.259539577420371
Bayview,Kaipātiki Local Board Area,north,2,45,197,535,6275,43051,3.7383177570093458,7.171314741035856,4.575968037908527
Beach Haven,Kaipātiki Local Board Area,north,11,45,197,1071,6275,43051,10.27077497665733,7.171314741035856,4.575968037908527
Beachlands,Franklin Local Board Area,south,2,67,599,1150,11978,33754,1.7391304347826089,5.593588245116046,17.746044913195473
Belmont,Devonport-Takapuna Local Board Area,north,2,21,197,323,4592,43051,6.191950464396285,4.573170731707317,4.575968037908527
Birkdale,Kaipātiki Local Board Area,north,2,45,197,790,6275,43051,2.5316455696202533,7.171314741035856,4.575968037908527
Birkenhead,Kaipātiki Local Board Area,north,4,45,197,823,6275,43051,4.860267314702308,7.171314741035856,4.575968037908527
Blockhouse Bay,Whau Local Board Area,west,7,44,221,609,3694,20046,11.494252873563218,11.911207363291824,11.024643320363165
Bombay,Franklin Local Board Area,south,4,67,599,373,11978,33754,10.723860589812332,5.593588245116046,17.746044913195473
Browns Bay,Hibiscus and Bays Local Board Area,north,9,65,197,925,12529,43051,9.72972972972973,5.187963923697023,4.575968037908527
Bucklands Beach,Howick Local Board Area,east,6,87,87,428,8904,8904,14.018691588785046,9.77088948787062,9.77088948787062
Castor Bay,Devonport-Takapuna Local Board Area,north,1,21,197,386,4592,43051,2.5906735751295336,4.573170731707317,4.575968037908527
Chatswood,Kaipātiki Local Board Area,north,2,45,197,278,6275,43051,7.194244604316547,7.171314741035856,4.575968037908527
Clarks Beach,Franklin Local Board Area,south,1,67,599,175,11978,33754,5.714285714285714,5.593588245116046,17.746044913195473
Clendon Park,Manurewa Local Board Area,south,13,160,599,426,5808,33754,30.516431924882628,27.548209366391184,17.746044913195473
Clevedon,Franklin Local Board Area,south,2,67,599,643,11978,33754,3.1104199066874028,5.593588245116046,17.746044913195473
Clover Park,Howick Local Board Area,east,5,87,87,265,8904,8904,18.867924528301884,9.77088948787062,9.77088948787062
Cockle Bay,Howick Local Board Area,east,2,87,87,379,8904,8904,5.277044854881266,9.77088948787062,9.77088948787062
Conifer Grove,Papakura Local Board Area,south,5,114,599,513,5967,33754,9.746588693957115,19.105077928607344,17.746044913195473
Dairy Flat,Rodney Local Board Area,north,1,42,197,601,12635,43051,1.663893510815308,3.3240997229916895,4.575968037908527
Devonport,Devonport-Takapuna Local Board Area,north,2,21,197,779,4592,43051,2.567394094993581,4.573170731707317,4.575968037908527
Dome Valley,Rodney Local Board Area,north,1,42,197,80,12635,43051,12.5,3.3240997229916895,4.575968037908527
Drury,Franklin Local Board Area,south,4,67,599,1285,11978,33754,3.11284046692607,5.593588245116046,17.746044913195473
East Tamaki,Ōtara-Papatoetoe Local Board Area,south,1,138,599,577,5192,33754,1.7331022530329288,26.57935285053929,17.746044913195473
East Tamaki Heights,Ōtara-Papatoetoe Local Board Area,south,2,138,599,88,5192,33754,22.727272727272727,26.57935285053929,17.746044913195473
Eastern Beach,Howick Local Board Area,east,2,87,87,145,8904,8904,13.793103448275861,9.77088948787062,9.77088948787062
Ellerslie,Ōrākei Local Board Area,central,5,47,311,736,7161,25368,6.793478260869565,6.563329143974305,12.259539577420371
Epsom,Albert-Eden Local Board Area,central,7,71,311,945,6233,25368,7.407407407407407,11.390983475052142,12.259539577420371
Favona,Māngere-Ōtāhuhu Local Board Area,south,5,120,599,283,4809,33754,17.6678445229682,24.953212726138492,17.746044913195473
Flat Bush,Howick Local Board Area,east,26,87,87,1518,8904,8904,17.127799736495387,9.77088948787062,9.77088948787062
Forrest Hill,Devonport-Takapuna Local Board Area,north,1,21,197,571,4592,43051,1.7513134851138354,4.573170731707317,4.575968037908527
Glen Eden,Waitākere Ranges Local Board Area,west,29,50,221,1672,6064,20046,17.3444976076555,8.24538258575198,11.024643320363165
Glen Innes,Maungakiekie-Tāmaki Local Board Area,central,13,113,311,617,5484,25368,21.06969205834684,20.60539752005835,12.259539577420371
Glenbrook,Franklin Local Board Area,south,3,67,599,374,11978,33754,8.0213903743315509,5.593588245116046,17.746044913195473
Glendene,Henderson-Massey Local Board Area,west,5,127,221,518,10288,20046,9.652509652509652,12.34447900466563,11.024643320363165
Glendowie,Ōrākei Local Board Area,central,3,47,311,838,7161,25368,3.579952267303103,6.563329143974305,12.259539577420371
Glenfield,Kaipātiki Local Board Area,north,12,45,197,961,6275,43051,12.486992715920914,7.171314741035856,4.575968037908527
Goodwood Heights,Manurewa Local Board Area,south,4,160,599,221,5808,33754,18.09954751131222,27.548209366391184,17.746044913195473
Green Bay,Whau Local Board Area,west,2,44,221,359,3694,20046,5.571030640668524,11.911207363291824,11.024643320363165
Greenlane,Albert-Eden Local Board Area,central,1,71,311,372,6233,25368,2.688172043010753,11.390983475052142,12.259539577420371
Grey Lynn,Waitematā Local Board Area,central,7,34,311,1006,4310,25368,6.958250497017893,7.888631090487239,12.259539577420371
Half Moon Bay,Howick Local Board Area,east,1,87,87,466,8904,8904,2.1459227467811157,9.77088948787062,9.77088948787062
Hatfields Beach,Hibiscus and Bays Local Board Area,north,1,65,197,154,12529,43051,6.493506493506494,5.187963923697023,4.575968037908527
Hauraki,Devonport-Takapuna Local Board Area,north,1,21,197,435,4592,43051,2.2988505747126435,4.573170731707317,4.575968037908527
Helensville,Rodney Local Board Area,north,3,42,197,631,12635,43051,4.754358161648177,3.3240997229916895,4.575968037908527
Henderson,Henderson-Massey Local Board Area,west,31,127,221,2670,10288,20046,11.610486891385767,12.34447900466563,11.024643320363165
Herne Bay,Waitematā Local Board Area,central,4,34,311,420,4310,25368,9.5238095238095255,7.888631090487239,12.259539577420371
Highland Park,Howick Local Board Area,east,4,87,87,569,8904,8904,7.0298769771529,9.77088948787062,9.77088948787062
Hill Park,Manurewa Local Board Area,south,2,160,599,270,5808,33754,7.407407407407407,27.548209366391184,17.746044913195473
Hillsborough,Puketāpapa Local Board Area,central,2,46,311,468,2180,25368,4.273504273504274,21.100917431192663,12.259539577420371
Hingaia,Papakura Local Board Area,south,3,114,599,469,5967,33754,6.3965884861407245,19.105077928607344,17.746044913195473
Hobbs Bay,Hibiscus and Bays Local Board Area,north,3,65,197,719,12529,43051,4.172461752433936,5.187963923697023,4.575968037908527
Hobsonville,Upper Harbour Local Board Area,north,4,18,197,1217,5464,43051,3.286770747740345,3.294289897510981,4.575968037908527
Hoteo North,Rodney Local Board Area,north,1,42,197,65,12635,43051,15.384615384615385,3.3240997229916895,4.575968037908527
Howick,Howick Local Board Area,east,13,87,87,1873,8904,8904,6.940736785904965,9.77088948787062,9.77088948787062
Huapai,Rodney Local Board Area,north,2,42,197,1121,12635,43051,1.784121320249777,3.3240997229916895,4.575968037908527
Kaipara Flats,Rodney Local Board Area,north,1,42,197,77,12635,43051,12.987012987012989,3.3240997229916895,4.575968037908527
Kaukapakapa,Rodney Local Board Area,north,1,42,197,483,12635,43051,2.070393374741201,3.3240997229916895,4.575968037908527
Kelston,Whau Local Board Area,west,5,44,221,299,3694,20046,16.72240802675585,11.911207363291824,11.024643320363165
Kingsland,Albert-Eden Local Board Area,central,3,71,311,326,6233,25368,9.202453987730062,11.390983475052142,12.259539577420371
Kohimarama,Ōrākei Local Board Area,central,5,47,311,533,7161,25368,9.380863039399626,6.563329143974305,12.259539577420371
Kumeu,Rodney Local Board Area,north,2,42,197,294,12635,43051,6.802721088435374,3.3240997229916895,4.575968037908527
Laingholm,Waitākere Ranges Local Board Area,west,2,50,221,337,6064,20046,5.934718100890208,8.24538258575198,11.024643320363165
Leigh,Rodney Local Board Area,north,2,42,197,56,12635,43051,35.714285714285715,3.3240997229916895,4.575968037908527
Long Bay,Hibiscus and Bays Local Board Area,north,3,65,197,352,12529,43051,8.522727272727272,5.187963923697023,4.575968037908527
Lynfield,Puketāpapa Local Board Area,central,2,46,311,169,2180,25368,11.834319526627219,21.100917431192663,12.259539577420371
Mairangi Bay,Hibiscus and Bays Local Board Area,north,3,65,197,469,12529,43051,6.3965884861407245,5.187963923697023,4.575968037908527
Mangere,Māngere-Ōtāhuhu Local Board Area,south,55,120,599,1614,4809,33754,34.07682775712516,24.953212726138492,17.746044913195473
Mangere Bridge,Māngere-Ōtāhuhu Local Board Area,south,11,120,599,800,4809,33754,13.75,24.953212726138492,17.746044913195473
Mangere East,Māngere-Ōtāhuhu Local Board Area,south,36,120,599,1388,4809,33754,25.936599423631126,24.953212726138492,17.746044913195473
Manly,Hibiscus and Bays Local Board Area,north,1,65,197,739,12529,43051,1.3531799729364007,5.187963923697023,4.575968037908527
Manukau Central,Ōtara-Papatoetoe Local Board Area,south,19,138,599,826,5192,33754,23.002421307506054,26.57935285053929,17.746044913195473
Manurewa,Manurewa Local Board Area,south,96,160,599,2959,5808,33754,32.44339303818858,27.548209366391184,17.746044913195473
Maraetai,Franklin Local Board Area,south,2,67,599,352,11978,33754,5.681818181818182,5.593588245116046,17.746044913195473
Massey,Henderson-Massey Local Board Area,west,48,127,221,2305,10288,20046,20.824295010845987,12.34447900466563,11.024643320363165
Matakana,Rodney Local Board Area,north,2,42,197,279,12635,43051,7.168458781362007,3.3240997229916895,4.575968037908527
Meadowbank,Ōrākei Local Board Area,central,6,47,311,522,7161,25368,11.494252873563218,6.563329143974305,12.259539577420371
Mellons Bay,Howick Local Board Area,east,1,87,87,368,8904,8904,2.717391304347826,9.77088948787062,9.77088948787062
Milford,Devonport-Takapuna Local Board Area,north,2,21,197,544,4592,43051,3.676470588235294,4.573170731707317,4.575968037908527
Mission Bay,Ōrākei Local Board Area,central,2,47,311,415,7161,25368,4.819277108433735,6.563329143974305,12.259539577420371
Morningside,Albert-Eden Local Board Area,central,1,71,311,4,6233,25368,250,11.390983475052142,12.259539577420371
Mount Albert,Albert-Eden Local Board Area,central,13,71,311,1047,6233,25368,12.41642788920726,11.390983475052142,12.259539577420371
Mount Eden,Albert-Eden Local Board Area,central,9,71,311,1217,6233,25368,7.395234182415777,11.390983475052142,12.259539577420371
Mount Roskill,Puketāpapa Local Board Area,central,29,46,311,1056,2180,25368,27.46212121212121,21.100917431192663,12.259539577420371
Mount Wellington,Maungakiekie-Tāmaki Local Board Area,central,25,113,311,1397,5484,25368,17.89549033643522,20.60539752005835,12.259539577420371
Muriwai Beach,Rodney Local Board Area,north,5,42,197,190,12635,43051,26.31578947368421,3.3240997229916895,4.575968037908527
Murrays Bay,Hibiscus and Bays Local Board Area,north,3,65,197,395,12529,43051,7.594936708860759,5.187963923697023,4.575968037908527
New Lynn,Whau Local Board Area,west,10,44,221,932,3694,20046,10.729613733905579,11.911207363291824,11.024643320363165
New Windsor,Whau Local Board Area,west,6,44,221,300,3694,20046,20,11.911207363291824,11.024643320363165
Newton,Waitematā Local Board Area,central,1,34,311,52,4310,25368,19.230769230769234,7.888631090487239,12.259539577420371
Northcote,Kaipātiki Local Board Area,north,4,45,197,567,6275,43051,7.054673721340388,7.171314741035856,4.575968037908527
Northcote Point,Kaipātiki Local Board Area,north,3,45,197,253,6275,43051,11.857707509881422,7.171314741035856,4.575968037908527
Northcross,Hibiscus and Bays Local Board Area,north,1,65,197,241,12529,43051,4.149377593360996,5.187963923697023,4.575968037908527
Northpark,Howick Local Board Area,east,1,87,87,584,8904,8904,1.7123287671232876,9.77088948787062,9.77088948787062
Okoromai Bay,Hibiscus and Bays Local Board Area,north,1,65,197,119,12529,43051,8.403361344537815,5.187963923697023,4.575968037908527
Okura,Hibiscus and Bays Local Board Area,north,1,65,197,95,12529,43051,10.526315789473683,5.187963923697023,4.575968037908527
Omaha,Rodney Local Board Area,north,1,42,197,98,12635,43051,10.204081632653061,3.3240997229916895,4.575968037908527
Onehunga,Maungakiekie-Tāmaki Local Board Area,central,28,113,311,1395,5484,25368,20.07168458781362,20.60539752005835,12.259539577420371
Orakei,Ōrākei Local Board Area,central,9,47,311,519,7161,25368,17.341040462427745,6.563329143974305,12.259539577420371
Oratia,Waitākere Ranges Local Board Area,west,2,50,221,341,6064,20046,5.865102639296188,8.24538258575198,11.024643320363165
Orere Point,Franklin Local Board Area,south,1,67,599,99,11978,33754,10.101010101010102,5.593588245116046,17.746044913195473
Orewa,Hibiscus and Bays Local Board Area,north,7,65,197,1374,12529,43051,5.094614264919942,5.187963923697023,4.575968037908527
Otahuhu,Māngere-Ōtāhuhu Local Board Area,south,13,120,599,707,4809,33754,18.38755304101839,24.953212726138492,17.746044913195473
Otara,Ōtara-Papatoetoe Local Board Area,south,67,138,599,1694,5192,33754,39.55135773317592,26.57935285053929,17.746044913195473
Oteha,Upper Harbour Local Board Area,north,1,18,197,222,5464,43051,4.504504504504505,3.294289897510981,4.575968037908527
Owairaka,Albert-Eden Local Board Area,central,8,71,311,265,6233,25368,30.18867924528302,11.390983475052142,12.259539577420371
Pakiri,Rodney Local Board Area,north,2,42,197,82,12635,43051,24.390243902439025,3.3240997229916895,4.575968037908527
Pakuranga,Howick Local Board Area,east,9,87,87,515,8904,8904,17.475728155339805,9.77088948787062,9.77088948787062
Pakuranga Heights,Howick Local Board Area,east,17,87,87,693,8904,8904,24.53102453102453,9.77088948787062,9.77088948787062
Panmure,Maungakiekie-Tāmaki Local Board Area,central,22,113,311,511,5484,25368,43.05283757338552,20.60539752005835,12.259539577420371
Papakura,Papakura Local Board Area,south,87,114,599,4176,5967,33754,20.833333333333332,19.105077928607344,17.746044913195473
Papatoetoe,Ōtara-Papatoetoe Local Board Area,south,49,138,599,2007,5192,33754,24.41454907822621,26.57935285053929,17.746044913195473
Parakai,Rodney Local Board Area,north,1,42,197,209,12635,43051,4.784688995215311,3.3240997229916895,4.575968037908527
Paremoremo,Upper Harbour Local Board Area,north,1,18,197,194,5464,43051,5.154639175257732,3.294289897510981,4.575968037908527
Parnell,Waitematā Local Board Area,central,1,34,311,531,4310,25368,1.8832391713747645,7.888631090487239,12.259539577420371
Penrose,Maungakiekie-Tāmaki Local Board Area,central,1,113,311,39,5484,25368,25.64102564102564,20.60539752005835,12.259539577420371
Pine Valley,Rodney Local Board Area,north,1,42,197,492,12635,43051,2.032520325203252,3.3240997229916895,4.575968037908527
Point Chevalier,Albert-Eden Local Board Area,central,16,71,311,777,6233,25368,20.592020592020592,11.390983475052142,12.259539577420371
Point England,Maungakiekie-Tāmaki Local Board Area,central,20,113,311,316,5484,25368,63.29113924050633,20.60539752005835,12.259539577420371
Ponsonby,Waitematā Local Board Area,central,4,34,311,636,4310,25368,6.289308176100629,7.888631090487239,12.259539577420371
