suburb,local_board,region,impounds_suburb,impounds_board,impounds_region,known_board,known_region,rate_board,rate_region
Albany,Upper Harbour Local Board Area,north,22,86,667,5464,43051,15.739385065885799,15.493252189263897
Albany Heights,Upper Harbour Local Board Area,north,2,86,667,5464,43051,15.739385065885799,15.493252189263897
Alfriston,Papakura Local Board Area,south,31,853,4680,5967,33754,142.95290765879002,138.65023404633524
Ardmore,Franklin Local Board Area,south,22,410,4680,11978,33754,34.22942060444148,138.65023404633524
Arkles Bay,Hibiscus and Bays Local Board Area,north,3,245,667,12529,43051,19.55463325085801,15.493252189263897
Auckland Airport,Māngere-Ōtāhuhu Local Board Area,south,2,1101,4680,4809,33754,228.94572676232065,138.65023404633524
Auckland Central,Waitematā Local Board Area,central,22,81,1159,4310,25368,18.79350348027842,45.6874802901293
Avondale,Whau Local Board Area,west,86,263,1303,3694,20046,71.19653492149432,65.00049885263894
Balmoral,Albert-Eden Local Board Area,central,7,219,1159,6233,25368,35.135568746991815,45.6874802901293
Bayswater,Devonport-Takapuna Local Board Area,north,9,63,667,4592,43051,13.71951219512195,15.493252189263897
Bayview,Kaipātiki Local Board Area,north,18,128,667,6275,43051,20.39840637450199,15.493252189263897
Beach Haven,Kaipātiki Local Board Area,north,24,128,667,6275,43051,20.39840637450199,15.493252189263897
Beachlands,Franklin Local Board Area,south,9,410,4680,11978,33754,34.22942060444148,138.65023404633524
Bethells,Waitākere Ranges Local Board Area,west,1,190,1303,6064,20046,31.332453825857517,65.00049885263894
Birkdale,Kaipātiki Local Board Area,north,11,128,667,6275,43051,20.39840637450199,15.493252189263897
Birkenhead,Kaipātiki Local Board Area,north,9,128,667,6275,43051,20.39840637450199,15.493252189263897
Blockhouse Bay,Whau Local Board Area,west,30,263,1303,3694,20046,71.19653492149432,65.00049885263894
Bombay,Franklin Local Board Area,south,4,410,4680,11978,33754,34.22942060444148,138.65023404633524
Botany Downs,Howick Local Board Area,east,12,398,398,8904,8904,44.699011680143755,44.699011680143755
Brookby,Franklin Local Board Area,south,2,410,4680,11978,33754,34.22942060444148,138.65023404633524
