suburb,local_board,region,known_suburb,known_board,known_region,impounds_attack_suburb,impounds_attack_board,impounds_attack_region,rate_attack_suburb,rate_attack_board,rate_attack_region
New Lynn,Whau Local Board Area,west,932,3694,20046,9,34,130,9.656652360515022,9.2041147807255,6.485084306095979
Glen Eden,Waitākere Ranges Local Board Area,west,1672,6064,20046,15,25,130,8.971291866028707,4.12269129287599,6.485084306095979
Chatswood,Kaipātiki Local Board Area,north,278,6275,43051,1,8,63,3.5971223021582737,1.2749003984063745,1.4633806415646557
Manurewa,Manurewa Local Board Area,south,2959,5808,33754,34,84,395,11.490368367691788,14.462809917355372,11.702316762457784
Papakura,Papakura Local Board Area,south,4176,5967,33754,55,75,395,13.170498084291188,12.56913021618904,11.702316762457784
Silverdale,Hibiscus and Bays Local Board Area,north,1054,12529,43051,10,23,63,9.487666034155597,1.8357410806927925,1.4633806415646557
Pakuranga,Howick Local Board Area,east,515,8904,8904,16,55,55,31.067961165048544,6.176999101527404,6.176999101527404
Alfriston,Papakura Local Board Area,south,102,5967,33754,6,75,395,58.8235294117647,12.56913021618904,11.702316762457784
Helensville,Rodney Local Board Area,north,631,12635,43051,2,14,63,3.1695721077654517,1.10803324099723,1.4633806415646557
Whenuapai,Upper Harbour Local Board Area,north,612,5464,43051,4,10,63,6.5359477124183005,1.8301610541727673,1.4633806415646557
Dairy Flat,Rodney Local Board Area,north,601,12635,43051,2,14,63,3.327787021630616,1.10803324099723,1.4633806415646557
Weymouth,Manurewa Local Board Area,south,533,5808,33754,23,84,395,43.151969981238274,14.462809917355372,11.702316762457784
Mangere East,Māngere-Ōtāhuhu Local Board Area,south,1388,4809,33754,27,116,395,19.452449567723345,24.121438968600543,11.702316762457784
Ellerslie,Ōrākei Local Board Area,central,736,7161,25368,2,8,105,2.717391304347826,1.1171624074849882,4.13907284768212
Otara,Ōtara-Papatoetoe Local Board Area,south,1694,5192,33754,36,78,395,21.251475796930343,15.023112480739599,11.702316762457784
Massey,Henderson-Massey Local Board Area,west,2305,10288,20046,28,71,130,12.147505422993492,6.901244167962675,6.485084306095979
Wai O Taiki Bay,Maungakiekie-Tāmaki Local Board Area,central,162,5484,25368,2,57,105,12.345679012345679,10.393873085339168,4.13907284768212
Mount Roskill,Puketāpapa Local Board Area,central,1056,2180,25368,11,17,105,10.416666666666666,7.79816513761468,4.13907284768212
Western Springs,Waitematā Local Board Area,central,179,4310,25368,1,3,105,5.58659217877095,0.6960556844547563,4.13907284768212
Pakuranga Heights,Howick Local Board Area,east,693,8904,8904,4,55,55,5.772005772005772,6.176999101527404,6.176999101527404
Papatoetoe,Ōtara-Papatoetoe Local Board Area,south,2007,5192,33754,32,78,395,15.944195316392625,15.023112480739599,11.702316762457784
Clover Park,Howick Local Board Area,east,265,8904,8904,9,55,55,33.9622641509434,6.176999101527404,6.176999101527404
Henderson,Henderson-Massey Local Board Area,west,2670,10288,20046,17,71,130,6.367041198501872,6.901244167962675,6.485084306095979
Waiheke Island,Waiheke Local Board Area,north,1200,1207,43051,3,3,63,2.5,2.4855012427506216,1.4633806415646557
Bucklands Beach,Howick Local Board Area,east,428,8904,8904,3,55,55,7.009345794392523,6.176999101527404,6.176999101527404
Flat Bush,Howick Local Board Area,east,1518,8904,8904,14,55,55,9.22266139657444,6.176999101527404,6.176999101527404
West Harbour,Henderson-Massey Local Board Area,west,817,10288,20046,4,71,130,4.8959608323133414,6.901244167962675,6.485084306095979
Mangere,Māngere-Ōtāhuhu Local Board Area,south,1614,4809,33754,51,116,395,31.598513011152413,24.121438968600543,11.702316762457784
Mount Wellington,Maungakiekie-Tāmaki Local Board Area,central,1397,5484,25368,16,57,105,11.45311381531854,10.393873085339168,4.13907284768212
Opaheke,NA,NA,NA,NA,NA,1,17,17,NA,NA,NA
Wiri,NA,NA,NA,NA,NA,6,17,17,NA,NA,NA
Schnapper Rock,Upper Harbour Local Board Area,north,302,5464,43051,1,10,63,3.3112582781456954,1.8301610541727673,1.4633806415646557
Pukekohe,Franklin Local Board Area,south,4010,11978,33754,16,42,395,3.99002493765586,3.5064284521622975,11.702316762457784
Waiuku,Franklin Local Board Area,south,2065,11978,33754,14,42,395,6.779661016949152,3.5064284521622975,11.702316762457784
Rosehill,NA,NA,NA,NA,NA,1,17,17,NA,NA,NA
Point England,Maungakiekie-Tāmaki Local Board Area,central,316,5484,25368,13,57,105,41.13924050632911,10.393873085339168,4.13907284768212
Kaukapakapa,Rodney Local Board Area,north,483,12635,43051,1,14,63,2.070393374741201,1.10803324099723,1.4633806415646557
Kaipara Flats,Rodney Local Board Area,north,77,12635,43051,1,14,63,12.987012987012989,1.10803324099723,1.4633806415646557
Clendon Park,Manurewa Local Board Area,south,426,5808,33754,5,84,395,11.737089201877934,14.462809917355372,11.702316762457784
Pohuehue,Rodney Local Board Area,north,68,12635,43051,1,14,63,14.705882352941176,1.10803324099723,1.4633806415646557
Avondale,Whau Local Board Area,west,1195,3694,20046,13,34,130,10.878661087866108,9.2041147807255,6.485084306095979
Kelston,Whau Local Board Area,west,299,3694,20046,7,34,130,23.41137123745819,9.2041147807255,6.485084306095979
Mangere Bridge,Māngere-Ōtāhuhu Local Board Area,south,800,4809,33754,12,116,395,15,24.121438968600543,11.702316762457784
Swanson,Waitākere Ranges Local Board Area,west,662,6064,20046,4,25,130,6.042296072507553,4.12269129287599,6.485084306095979
Orewa,Hibiscus and Bays Local Board Area,north,1374,12529,43051,4,23,63,2.911208151382824,1.8357410806927925,1.4633806415646557
Ranui,Henderson-Massey Local Board Area,west,924,10288,20046,5,71,130,5.411255411255411,6.901244167962675,6.485084306095979
Kingseat,NA,NA,NA,NA,NA,1,17,17,NA,NA,NA
Oratia,Waitākere Ranges Local Board Area,west,341,6064,20046,3,25,130,8.797653958944283,4.12269129287599,6.485084306095979
Te Atatu South,Henderson-Massey Local Board Area,west,1010,10288,20046,6,71,130,5.9405940594059405,6.901244167962675,6.485084306095979
Epsom,Albert-Eden Local Board Area,central,945,6233,25368,3,20,105,3.1746031746031744,3.208727739451308,4.13907284768212
Hunua,NA,NA,NA,NA,NA,3,17,17,NA,NA,NA
Devonport,Devonport-Takapuna Local Board Area,north,779,4592,43051,3,5,63,3.851091142490372,1.088850174216028,1.4633806415646557
Randwick Park,Manurewa Local Board Area,south,385,5808,33754,10,84,395,25.974025974025977,14.462809917355372,11.702316762457784
Panmure,Maungakiekie-Tāmaki Local Board Area,central,511,5484,25368,8,57,105,15.655577299412915,10.393873085339168,4.13907284768212
