local_board,status,count,board_total,proportion
Albert-Eden Local Board Area,Adopted,4,219,0.0182648401826484
Albert-Eden Local Board Area,Euthanised,70,219,0.319634703196347
Albert-Eden Local Board Area,Other,8,219,0.0365296803652968
Albert-Eden Local Board Area,RTO by AMO,20,219,0.091324200913242
Albert-Eden Local Board Area,Released,113,219,0.5159817351598174
Albert-Eden Local Board Area,Rescued,4,219,0.0182648401826484
Aotea/Great Barrier Local Board Area,Euthanised,6,6,1
Devonport-Takapuna Local Board Area,Adopted,1,63,0.015873015873015872
Devonport-Takapuna Local Board Area,Euthanised,12,63,0.19047619047619047
Devonport-Takapuna Local Board Area,Other,1,63,0.015873015873015872
Devonport-Takapuna Local Board Area,RTO by AMO,6,63,0.09523809523809523
Devonport-Takapuna Local Board Area,Released,37,63,0.5873015873015873
Devonport-Takapuna Local Board Area,Rescued,6,63,0.09523809523809523
Franklin Local Board Area,Adopted,5,400,0.0125
Franklin Local Board Area,Euthanised,206,400,0.515
Franklin Local Board Area,Other,21,400,0.0525
Franklin Local Board Area,RTO by AMO,29,400,0.0725
Franklin Local Board Area,Released,134,400,0.335
Franklin Local Board Area,Rescued,5,400,0.0125
Henderson-Massey Local Board Area,Adopted,16,850,0.018823529411764704
Henderson-Massey Local Board Area,Euthanised,331,850,0.38941176470588235
Henderson-Massey Local Board Area,Other,25,850,0.029411764705882353
Henderson-Massey Local Board Area,RTO by AMO,34,850,0.04
Henderson-Massey Local Board Area,Released,410,850,0.4823529411764706
Henderson-Massey Local Board Area,Rescued,34,850,0.04
Hibiscus and Bays Local Board Area,Adopted,13,244,0.05327868852459016
Hibiscus and Bays Local Board Area,Euthanised,74,244,0.30327868852459017
Hibiscus and Bays Local Board Area,Other,3,244,0.012295081967213115
Hibiscus and Bays Local Board Area,RTO by AMO,12,244,0.04918032786885246
Hibiscus and Bays Local Board Area,Released,120,244,0.4918032786885246
Hibiscus and Bays Local Board Area,Rescued,22,244,0.09016393442622951
Howick Local Board Area,Adopted,4,389,0.010282776349614395
Howick Local Board Area,Euthanised,132,389,0.3393316195372751
Howick Local Board Area,Other,12,389,0.030848329048843187
Howick Local Board Area,RTO by AMO,55,389,0.14138817480719795
Howick Local Board Area,Released,181,389,0.4652956298200514
Howick Local Board Area,Rescued,5,389,0.012853470437017995
Kaipātiki Local Board Area,Adopted,3,128,0.0234375
Kaipātiki Local Board Area,Euthanised,42,128,0.328125
Kaipātiki Local Board Area,Other,3,128,0.0234375
Kaipātiki Local Board Area,RTO by AMO,4,128,0.03125
Kaipātiki Local Board Area,Released,76,128,0.59375
Manurewa Local Board Area,Adopted,34,1209,0.028122415219189414
Manurewa Local Board Area,Euthanised,681,1209,0.5632754342431762
Manurewa Local Board Area,Other,36,1209,0.02977667493796526
Manurewa Local Board Area,RTO by AMO,39,1209,0.03225806451612903
Manurewa Local Board Area,Released,376,1209,0.3110008271298594
Manurewa Local Board Area,Rescued,43,1209,0.03556658395368073
Maungakiekie-Tāmaki Local Board Area,Adopted,13,557,0.02333931777378815
Maungakiekie-Tāmaki Local Board Area,Euthanised,289,557,0.518850987432675
Maungakiekie-Tāmaki Local Board Area,Other,7,557,0.012567324955116697
Maungakiekie-Tāmaki Local Board Area,RTO by AMO,38,557,0.06822262118491922
Maungakiekie-Tāmaki Local Board Area,Released,178,557,0.31956912028725315
Maungakiekie-Tāmaki Local Board Area,Rescued,32,557,0.05745062836624776
Māngere-Ōtāhuhu Local Board Area,Adopted,25,1101,0.022706630336058128
Māngere-Ōtāhuhu Local Board Area,Euthanised,605,1101,0.5495004541326067
Māngere-Ōtāhuhu Local Board Area,Other,43,1101,0.03905540417801998
