suburb,local_board,region,impounds_attack_suburb,impounds_attack_board,impounds_attack_region,known_board,known_region,rate_attack_board,rate_attack_region
Albany,Upper Harbour Local Board Area,north,1,10,64,5464,43051,1.8301610541727673,1.4866089057164757
Alfriston,Papakura Local Board Area,south,6,78,408,5967,33754,13.071895424836601,12.087456301475381
Ardmore,Franklin Local Board Area,south,3,46,408,11978,33754,3.8403740190348974,12.087456301475381
Avondale,Whau Local Board Area,west,13,34,130,3694,20046,9.2041147807255,6.485084306095979
Balmoral,Albert-Eden Local Board Area,central,3,20,108,6233,25368,3.208727739451308,4.257332071901609
Bayview,Kaipātiki Local Board Area,north,2,8,64,6275,43051,1.2749003984063745,1.4866089057164757
Beach Haven,Kaipātiki Local Board Area,north,3,8,64,6275,43051,1.2749003984063745,1.4866089057164757
Beachlands,Franklin Local Board Area,south,4,46,408,11978,33754,3.8403740190348974,12.087456301475381
Blockhouse Bay,Whau Local Board Area,west,3,34,130,3694,20046,9.2041147807255,6.485084306095979
Browns Bay,Hibiscus and Bays Local Board Area,north,4,23,64,12529,43051,1.8357410806927925,1.4866089057164757
Bucklands Beach,Howick Local Board Area,east,3,55,55,8904,8904,6.176999101527404,6.176999101527404
Chatswood,Kaipātiki Local Board Area,north,1,8,64,6275,43051,1.2749003984063745,1.4866089057164757
Clarks Beach,Franklin Local Board Area,south,1,46,408,11978,33754,3.8403740190348974,12.087456301475381
Clendon Park,Manurewa Local Board Area,south,5,90,408,5808,33754,15.495867768595042,12.087456301475381
Clover Park,Howick Local Board Area,east,9,55,55,8904,8904,6.176999101527404,6.176999101527404
Conifer Grove,Papakura Local Board Area,south,5,78,408,5967,33754,13.071895424836601,12.087456301475381
Dairy Flat,Rodney Local Board Area,north,2,14,64,12635,43051,1.10803324099723,1.4866089057164757
Devonport,Devonport-Takapuna Local Board Area,north,3,5,64,4592,43051,1.088850174216028,1.4866089057164757
East Tamaki,Ōtara-Papatoetoe Local Board Area,south,2,78,408,5192,33754,15.023112480739599,12.087456301475381
Ellerslie,Ōrākei Local Board Area,central,2,8,108,7161,25368,1.1171624074849882,4.257332071901609
Epsom,Albert-Eden Local Board Area,central,3,20,108,6233,25368,3.208727739451308,4.257332071901609
Favona,Māngere-Ōtāhuhu Local Board Area,south,9,116,408,4809,33754,24.121438968600543,12.087456301475381
Flat Bush,Howick Local Board Area,east,14,55,55,8904,8904,6.176999101527404,6.176999101527404
Forrest Hill,Devonport-Takapuna Local Board Area,north,1,5,64,4592,43051,1.088850174216028,1.4866089057164757
Glen Eden,Waitākere Ranges Local Board Area,west,15,25,130,6064,20046,4.12269129287599,6.485084306095979
Glen Innes,Maungakiekie-Tāmaki Local Board Area,central,2,57,108,5484,25368,10.393873085339168,4.257332071901609
Glenbrook,Franklin Local Board Area,south,1,46,408,11978,33754,3.8403740190348974,12.087456301475381
Glendowie,Ōrākei Local Board Area,central,1,8,108,7161,25368,1.1171624074849882,4.257332071901609
Glenfield,Kaipātiki Local Board Area,north,2,8,64,6275,43051,1.2749003984063745,1.4866089057164757
Goodwood Heights,Manurewa Local Board Area,south,3,90,408,5808,33754,15.495867768595042,12.087456301475381
Green Bay,Whau Local Board Area,west,1,34,130,3694,20046,9.2041147807255,6.485084306095979
Greenhithe,Upper Harbour Local Board Area,north,1,10,64,5464,43051,1.8301610541727673,1.4866089057164757
Greenlane,Albert-Eden Local Board Area,central,1,20,108,6233,25368,3.208727739451308,4.257332071901609
Grey Lynn,Waitematā Local Board Area,central,1,3,108,4310,25368,0.6960556844547563,4.257332071901609
Helensville,Rodney Local Board Area,north,2,14,64,12635,43051,1.10803324099723,1.4866089057164757
Henderson,Henderson-Massey Local Board Area,west,17,71,130,10288,20046,6.901244167962675,6.485084306095979
Henderson Valley,Henderson-Massey Local Board Area,west,2,71,130,10288,20046,6.901244167962675,6.485084306095979
Highland Park,Howick Local Board Area,east,2,55,55,8904,8904,6.176999101527404,6.176999101527404
Hillsborough,Puketāpapa Local Board Area,central,1,20,108,2180,25368,9.174311926605505,4.257332071901609
Hingaia,Papakura Local Board Area,south,2,78,408,5967,33754,13.071895424836601,12.087456301475381
Hobsonville,Upper Harbour Local Board Area,north,2,10,64,5464,43051,1.8301610541727673,1.4866089057164757
Howick,Howick Local Board Area,east,3,55,55,8904,8904,6.176999101527404,6.176999101527404
Hunua,Franklin Local Board Area,south,3,46,408,11978,33754,3.8403740190348974,12.087456301475381
Kaipara Flats,Rodney Local Board Area,north,1,14,64,12635,43051,1.10803324099723,1.4866089057164757
Karaka,Franklin Local Board Area,south,1,46,408,11978,33754,3.8403740190348974,12.087456301475381
Kaukapakapa,Rodney Local Board Area,north,1,14,64,12635,43051,1.10803324099723,1.4866089057164757
Kelston,Whau Local Board Area,west,7,34,130,3694,20046,9.2041147807255,6.485084306095979
Kingseat,Franklin Local Board Area,south,1,46,408,11978,33754,3.8403740190348974,12.087456301475381
Kingsland,Albert-Eden Local Board Area,central,1,20,108,6233,25368,3.208727739451308,4.257332071901609
Kohimarama,Ōrākei Local Board Area,central,1,8,108,7161,25368,1.1171624074849882,4.257332071901609
Lynfield,Puketāpapa Local Board Area,central,2,20,108,2180,25368,9.174311926605505,4.257332071901609
Mangere,Māngere-Ōtāhuhu Local Board Area,south,51,116,408,4809,33754,24.121438968600543,12.087456301475381
Mangere Bridge,Māngere-Ōtāhuhu Local Board Area,south,12,116,408,4809,33754,24.121438968600543,12.087456301475381
Mangere East,Māngere-Ōtāhuhu Local Board Area,south,27,116,408,4809,33754,24.121438968600543,12.087456301475381
Manly,Hibiscus and Bays Local Board Area,north,1,23,64,12529,43051,1.8357410806927925,1.4866089057164757
Manukau Central,Ōtara-Papatoetoe Local Board Area,south,8,78,408,5192,33754,15.023112480739599,12.087456301475381
Manurewa,Manurewa Local Board Area,south,34,90,408,5808,33754,15.495867768595042,12.087456301475381
