suburb,local_board,region,metric,count,known_suburb,known_board,known_region,p_suburb,p_board,p_region
Ahuroa,Rodney Local Board Area,north,animal_desexed,67,103,12635,43051,0.6504854368932039,0.6839730906212901,0.7100648068569836
Ahuroa,Rodney Local Board Area,north,classification,1,103,12635,43051,0.009708737864077669,0.015116739216462208,0.016979861094980373
Ahuroa,Rodney Local Board Area,north,current_reg,102,103,12635,43051,0.9902912621359223,0.9270280965571824,0.9315695338087385
Ahuroa,Rodney Local Board Area,north,owner_reg,53,103,12635,43051,0.5145631067961165,0.39746735259200633,0.36059557269285264
Albany,Upper Harbour Local Board Area,north,animal_desexed,325,456,5464,43051,0.7127192982456141,0.7016837481698389,0.7100648068569836
Albany,Upper Harbour Local Board Area,north,classification,8,456,5464,43051,0.017543859649122806,0.016471449487554905,0.016979861094980373
Albany,Upper Harbour Local Board Area,north,current_reg,416,456,5464,43051,0.9122807017543859,0.9302708638360175,0.9315695338087385
Albany,Upper Harbour Local Board Area,north,owner_reg,162,456,5464,43051,0.35526315789473684,0.3444363103953148,0.36059557269285264
Albany Heights,Upper Harbour Local Board Area,north,animal_desexed,134,220,5464,43051,0.6090909090909091,0.7016837481698389,0.7100648068569836
Albany Heights,Upper Harbour Local Board Area,north,classification,4,220,5464,43051,0.01818181818181818,0.016471449487554905,0.016979861094980373
Albany Heights,Upper Harbour Local Board Area,north,current_reg,205,220,5464,43051,0.9318181818181818,0.9302708638360175,0.9315695338087385
Albany Heights,Upper Harbour Local Board Area,north,owner_reg,71,220,5464,43051,0.32272727272727275,0.3444363103953148,0.36059557269285264
Alfriston,Papakura Local Board Area,south,animal_desexed,58,102,5967,33754,0.5686274509803921,0.5828724652254064,0.560407655388991
Alfriston,Papakura Local Board Area,south,classification,5,102,5967,33754,0.049019607843137254,0.08982738394503101,0.10665402618948866
Alfriston,Papakura Local Board Area,south,current_reg,88,102,5967,33754,0.8627450980392157,0.8327467739232445,0.8430111986727499
Alfriston,Papakura Local Board Area,south,owner_reg,26,102,5967,33754,0.2549019607843137,0.32797050444109266,0.29629080997807666
Algies Bay,Rodney Local Board Area,north,animal_desexed,65,83,12635,43051,0.7831325301204819,0.6839730906212901,0.7100648068569836
Algies Bay,Rodney Local Board Area,north,classification,1,83,12635,43051,0.012048192771084338,0.015116739216462208,0.016979861094980373
Algies Bay,Rodney Local Board Area,north,current_reg,80,83,12635,43051,0.963855421686747,0.9270280965571824,0.9315695338087385
Algies Bay,Rodney Local Board Area,north,owner_reg,44,83,12635,43051,0.5301204819277109,0.39746735259200633,0.36059557269285264
Anawhata,Waitākere Ranges Local Board Area,west,animal_desexed,6,7,6064,20046,0.8571428571428571,0.7204815303430079,0.6577870896937045
Anawhata,Waitākere Ranges Local Board Area,west,classification,0,7,6064,20046,0,0.033641160949868076,0.05711862715753766
Anawhata,Waitākere Ranges Local Board Area,west,current_reg,6,7,6064,20046,0.8571428571428571,0.9200197889182058,0.8856629751571385
Anawhata,Waitākere Ranges Local Board Area,west,owner_reg,6,7,6064,20046,0.8571428571428571,0.34465699208443273,0.305846552928265
Araparera,Rodney Local Board Area,north,animal_desexed,7,19,12635,43051,0.3684210526315789,0.6839730906212901,0.7100648068569836
Araparera,Rodney Local Board Area,north,classification,0,19,12635,43051,0,0.015116739216462208,0.016979861094980373
Araparera,Rodney Local Board Area,north,current_reg,13,19,12635,43051,0.6842105263157895,0.9270280965571824,0.9315695338087385
Araparera,Rodney Local Board Area,north,owner_reg,4,19,12635,43051,0.21052631578947367,0.39746735259200633,0.36059557269285264
Ararimu Valley,Franklin Local Board Area,south,animal_desexed,95,140,11978,33754,0.6785714285714286,0.6668058106528636,0.560407655388991
Ararimu Valley,Franklin Local Board Area,south,classification,1,140,11978,33754,0.007142857142857143,0.03414593421272333,0.10665402618948866
Ararimu Valley,Franklin Local Board Area,south,current_reg,134,140,11978,33754,0.9571428571428572,0.9143429620971781,0.8430111986727499
Ararimu Valley,Franklin Local Board Area,south,owner_reg,72,140,11978,33754,0.5142857142857142,0.4029888128235098,0.29629080997807666
Ardmore,Franklin Local Board Area,south,animal_desexed,249,444,11978,33754,0.5608108108108109,0.6668058106528636,0.560407655388991
Ardmore,Franklin Local Board Area,south,classification,21,444,11978,33754,0.0472972972972973,0.03414593421272333,0.10665402618948866
Ardmore,Franklin Local Board Area,south,current_reg,369,444,11978,33754,0.831081081081081,0.9143429620971781,0.8430111986727499
Ardmore,Franklin Local Board Area,south,owner_reg,153,444,11978,33754,0.34459459459459457,0.4029888128235098,0.29629080997807666
Arkles Bay,Hibiscus and Bays Local Board Area,north,animal_desexed,178,231,12529,43051,0.7705627705627706,0.7449118046132972,0.7100648068569836
Arkles Bay,Hibiscus and Bays Local Board Area,north,classification,2,231,12529,43051,0.008658008658008658,0.015005187963923697,0.016979861094980373
Arkles Bay,Hibiscus and Bays Local Board Area,north,current_reg,211,231,12529,43051,0.9134199134199135,0.9426929523505467,0.9315695338087385
Arkles Bay,Hibiscus and Bays Local Board Area,north,owner_reg,89,231,12529,43051,0.3852813852813853,0.37975895921462205,0.36059557269285264
Army Bay,Hibiscus and Bays Local Board Area,north,animal_desexed,131,164,12529,43051,0.7987804878048781,0.7449118046132972,0.7100648068569836
Army Bay,Hibiscus and Bays Local Board Area,north,classification,2,164,12529,43051,0.012195121951219513,0.015005187963923697,0.016979861094980373
